Epoch: 2  , step: 450  , ssim_all: 0.8360286951065063
Epoch: 2  , step: 460  , ssim_all: 0.8359664678573608
Epoch: 2  , step: 470  , ssim_all: 0.8361093401908875
Epoch: 2  , step: 480  , ssim_all: 0.8357763290405273
Epoch: 2  , step: 490  , ssim_all: 0.8356941938400269
Epoch: 2  , step: 500  , ssim_all: 0.8356932401657104
Epoch: 2  , step: 510  , ssim_all: 0.8356378078460693
Epoch: 2  , step: 520  , ssim_all: 0.8357900381088257
Epoch: 2  , step: 530  , ssim_all: 0.8357865810394287
Epoch: 2  , step: 540  , ssim_all: 0.835991621017456
Epoch: 2  , step: 550  , ssim_all: 0.8360645174980164
Epoch: 2  , step: 560  , ssim_all: 0.8361829519271851
Epoch: 2  , step: 570  , ssim_all: 0.8363748788833618
Epoch: 2  , step: 580  , ssim_all: 0.8361526727676392
Epoch: 2  , step: 590  , ssim_all: 0.8364424705505371
Epoch: 2  , step: 600  , ssim_all: 0.836697518825531
Epoch: 2  , step: 610  , ssim_all: 0.8364808559417725
Epoch: 2  , step: 620  , ssim_all: 0.8364439606666565
Epoch: 2  , step: 630  , ssim_all: 0.8366529941558838
Epoch: 2  , step: 640  , ssim_all: 0.8366758227348328
Epoch: 2  , step: 650  , ssim_all: 0.8368237018585205
Epoch: 2  , step: 660  , ssim_all: 0.8366479277610779
Epoch: 2  , step: 670  , ssim_all: 0.8367323875427246
Epoch: 2  , step: 680  , ssim_all: 0.8369277715682983
Epoch: 2  , step: 690  , ssim_all: 0.8370742797851562
Epoch: 2  , step: 700  , ssim_all: 0.8369941711425781
Epoch: 2  , step: 710  , ssim_all: 0.8369494080543518
Epoch: 2  , step: 720  , ssim_all: 0.8368047475814819
Epoch: 2  , step: 730  , ssim_all: 0.836700975894928
Epoch: 2  , step: 740  , ssim_all: 0.836850643157959
Epoch: 2  , step: 750  , ssim_all: 0.8365186452865601
Epoch: 2  , step: 760  , ssim_all: 0.8366572260856628
Epoch: 2  , step: 770  , ssim_all: 0.8367906212806702
Epoch: 2  , step: 780  , ssim_all: 0.8368017673492432
Epoch: 2  , step: 790  , ssim_all: 0.8368203043937683
Epoch: 2  , step: 800  , ssim_all: 0.8368051052093506
